question,standard_answer,difficulty,source,tags
外幣清算銀行前言的內容是什麼？,"「票券保管結算交割系統」之「外幣清算銀行介面規格書」(以下簡稱介面規格
書)供「外幣清算銀行」進行程式開發與介面連結之規範。
票券商、清算交割銀行及實券保管銀行透過集中保管結算機構辦理外幣票券
結算業務、所產生之應收及應付款項之清算，應於外幣清算銀行開設款項帳戶。",3,集保公開資料測試,
外幣清算銀行建置主要目的是什麼？,"本系統建置主要目的，在為票券市場建立一高效率、安全可靠之電子化集中保管
結算交割機制，透過系統之運行，進而達到減少交割風險、提高交割效率、便利
資金運用與管理等長遠目標。",3,集保公開資料測試,
外幣清算銀行的系統範圍？,"(一)一般作業：
1.要求訊息重送作業
2.訊息傳遞作業
(二) 外幣款項收付處理： 
1.即時撥轉作業
(三)查詢作業：
1. 外幣款項撥轉明細查詢",3,集保公開資料測試,
外幣清算銀行斷票處理作業的起始時間和終止時間是什麼時候？,斷票處理作業的起始時間是 16:15，終止時間是 16:20。,3,集保公開資料測試,
外幣清算銀行什麼時候要完成001/PC(NC)確認指令？,001/PC(NC)確認指令的截止時間是 15:30。,3,集保公開資料測試,
外幣清算銀行餘額不足付作業流程處理步驟,"處理步驟：
1.票券保管結算交割系統進行相關指令之確認或比對處理。
2.發送「即時撥轉通知050/FCTN」通知外幣清算銀行，進行款項撥轉。
3.外幣清算銀行依據訊息內容進行款項撥轉，執行結果為撥出方餘額不足付。
4.外幣清算銀行立即發送「即時撥轉處理結果-餘額不足付 001/NC/NARR=“0000000”」
通知票券保管結算交割系統進行後續處理。
5.票券保管結算交割系統收到外幣清算銀行回覆之訊息後，立即回覆「即時撥轉狀態
通知-收到訊息055/LFCK/ACPT」通知外幣清算銀行其處理結果訊息已被票券保管
結算交割系統接收。
6.票券保管結算交割系統對「即時撥轉處理結果-餘額不足付 
001/NC/NARR=“0000000”」驗證及處理無誤後，立即回覆外幣清算交割銀行「即時
撥轉狀態通知處理完成055/LFCK/FTF」。表示此款項撥轉處理無誤。
7.因此撥款為撥出方餘額不足付，票券保管結算交割系統若於營業時間內，則將此撥
款進入循環，待下一次撥款時點再進行撥款。",4,集保公開資料測試,
外幣清算銀行訊息流程中，MAC錯誤時應該怎麼做？,"1. 本系統收到發訊單位指令或訊息(包含Message Type = 001之訊息)後之處理程
序如下：
1.1 檢查MAC是否正確：
 如否，則回訊訊息代號“055”；交割狀態“RJCT”；交割指令狀態說
明代碼“UNAU”。
 如是，則回訊訊息代號“055”；交割狀態“ACPT”，並重新賦予該指
令或訊息一個新的系統參考編號。並執行1.2之程序。",5,集保公開資料測試,
外幣清算交割銀行的一般作業訊息流程中訊息重送流程是什麼？,"流程圖：
1.  外幣清算銀行發送「004/RSN 訊息重送」
2. 票券保管結算交割系統 回應收到訊息重送 「055/ACPT/4/THRD_REF/REF/CREF/SNDR_REF/TSF_SIDE」
3. 票券保管結算交割系統 訊息重送失敗 「055/ACPT/4/THRD_REF/REF/CREF/SNDR_REF/TSF_SIDE」
4. 視實際回應訊息作業狀況而定",3,集保公開資料測試,
外幣清算銀行訊息格式中XML訊息可以有跳行符號嗎？,XML訊息內不得有跳行符號。,3,集保公開資料測試,
外幣清算銀行傳送至本系統之訊息標頭包含哪些欄位？,"MESSAGE TYPE
 ACTION CODE
 ORIGIN
 NARRATIVE
 TIMESTAMP
 SENDER REFERENCE
 BCSS BUSINESS DATE",3,集保公開資料測試,
外幣清算銀行訊息格式中，欄位型態C代表什麼？,英文字母及數字,3,集保公開資料測試,
XML 訊息格式的標准用法中，Reference的縮寫為何？,REF,3,集保公開資料測試,
請給我外幣清算銀行訊息欄位Timestamp的欄位說明,YYYY-MM-DDTHH:MM:SS,3,集保公開資料測試,
外幣清算銀行的OPC連線方式是什麼？,連線方式：訊息以XML格式，透過TCP/IP﹑MQ及OPC進行訊息交換。,3,集保公開資料測試,
Triple-DES是什麼？,"所謂 Triple-DES 顧名思義便是將一個明文資料做了三次的 DES 運算，而如何
將明文做三次 DES 運算可能就使用的基碼之不同或加解密順序之不同而有不同之
模式。本系統採目前最廣泛被使用之 EDE2 模式，其基碼長度為112 bits，是傳統 
DES 基碼長度（56 bits）的二倍，以下將做更詳細的說明：
DES-EDE2: 使用 2 個不同的基碼，依序做 DES 加密、DES 解密及 DES 加密，
其中第 1 及第 3 個運算將使用第 1 個基碼，而第二個運算則使用第 2 個基碼。",4,集保公開資料測試,
外幣清算銀行MQ Server命名有什麼注意事項？,MQ物件在命名時，大小寫英文字母是不相同的，須特別注意在本系統中所有MQ物件均使用大寫字母。此外，有關 MQ之參考設定，除特別標明外，參加單位可視需求自行調整，其餘均是必要設定，不可自行更動。本節未提到的MQ物件參數，一般而言使用預設值即可。,3,集保公開資料測試,
代理清算銀行前言的內容是什麼？,"「票券保管結算交割系統」(以下簡稱本系統)之「代理清算銀行介面規格書」
(以下簡稱介面規格書) ，係依財政部「改進我國票券交割支付作業系統」專案小組規
劃之業務流程與交割機制，並參酌臺灣集中保管結算所股份有限公司之業務作業規則
編撰而成。",3,集保公開資料測試,
"
代理清算銀行的系統範圍有哪些？","【1.1.2】系統範圍
(一)初級市場扣帳撥款作業
1. 代銷作業
2. 債券配銷作業
(二)次級市場扣帳撥款作業
1. 證券商與投資人作業
2. 證券商與票券商作業
3. 證券商與證券商作業
(三)兌償扣帳撥款作業與其他作業流程
1. 兌償作業
2. 要求訊息重送作業
3. 報表查詢作業
4. 訊息傳遞作業
5. 債券還本付息作業
(四)質權扣帳撥款作業
1. 投資人(出質人)買入暨設定質權作業
2. 更換擔保品作業(含買賣)
 (五)附條件質權扣帳撥款作業
附條件質權合約更換質權標的作業",4,集保公開資料測試,
代理清算銀行送存指令最晚要在什麼時候提交？,16:30,3,集保公開資料測試,
實券保管銀行前言的內容是什麼？,"票券保管結算交割系統(以下簡稱本系統)之參加單位介面規格書(以下簡稱介
面規格書)係依財政部「改進我國票券交割支付作業系統」專案小組規劃之業務流程
與交割機制，並參酌臺灣集中保管結算所股份有限公司之業務作業規則編撰而成。",3,集保公開資料測試,
清算交割銀行前言的內容是什麼？,"「票券保管結算交割系統」(以下簡稱本系統)之「清算交割銀行介面規格書」(以
下簡稱介面規格書) ，係依財政部「改進我國票券交割支付作業系統」專案小組規劃
之業務流程與交割機制，並參酌臺灣集中保管結算所股份有限公司之業務作業規則編
撰而成。",3,集保公開資料測試,
票券商前言的內容是什麼？,"「票券保管結算交割系統」之「票券商介面規格書」(以下簡稱介面規格書)係依財政
部「改進我國票券交割支付作業系統」專案小組規劃之業務流程與交割機制，並參
酌臺灣集中保管結算所股份有限公司之業務作業規則編撰而成。本介面規格書適用
於以「主機對主機」或以「傳檔工作站」與臺灣集中保管結算所股份有限公司連線之
票券商。",3,集保公開資料測試,
